tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
753,12.2514,27.52,0,23,1.15,2.2952,1.4843,0.08984,215.2,1890,10.72,41361.6
754,12.2341,27.69,0,24,1.15,2.2952,1.4806,0.09008,214.6,1894,10.7,41416.2
755,12.2172,27.82,0,23,1.15,2.2952,1.4843,0.09087,214.9,1897,10.71,41471.8
756,12.196,28.06,0,24,1.15,2.2952,1.4843,0.08867,217.7,1897,10.71,41527.8
757,12.1751,28.17,0,23,1.15,2.2952,1.4843,0.08833,218.9,1899,10.65,41585.9
758,12.1509,28.39,0,22,1.15,2.2952,1.4843,0.08876,219.4,1902,10.59,41646.9
759,12.1196,28.38,0,20,1.15,2.2952,1.4843,0.09084,218.5,1907,10.56,41707.9
760,12.0918,28.23,0,18,1.15,2.2952,1.4843,0.08999,219.5,1909,10.57,41768.0
761,12.0647,28.06,0,19,1.15,2.2952,1.4843,0.09107,218.5,1913,10.56,41826.5
762,12.0404,28.3,0,19,1.15,2.2952,1.4843,0.09008,219.7,1915,10.59,41882.1
763,12.0221,28.24,0,18,1.15,2.2952,1.4843,0.08844,221.6,1916,10.61,41937.7
764,12.004,28.46,0,19,1.15,2.2952,1.4843,0.0871,223.8,1917,10.59,41995.3
765,11.9847,28.43,0,21,1.15,2.2952,1.4843,0.08665,224.3,1919,10.57,42050.8
766,11.9618,28.52,0,20,1.15,2.2952,1.4843,0.08448,226.6,1920,10.52,42108.4
767,11.9397,28.6,0,18,1.15,2.2952,1.4843,0.08431,227.9,1922,10.46,42168.9
768,11.9178,28.54,0,17,1.15,2.2952,1.4843,0.08509,229.1,1924,10.42,42229.9
769,11.8945,28.41,2,18,1.15,2.2952,1.4843,0.08408,231.1,1925,10.43,42291.0
770,11.8734,28.73,1,21,1.15,2.2952,1.4843,0.08423,232.4,1927,10.4,42354.0
771,11.8543,28.89,1,20,1.15,2.2952,1.4843,0.08617,232.2,1931,10.39,42414.0
772,11.8369,28.73,1,21,1.15,2.2854,1.4843,0.08517,234.3,1932,10.41,42470.1
773,11.8179,28.42,0,20,1.15,2.2952,1.4843,0.08806,233.0,1937,10.39,42524.7
774,11.7958,28.57,0,21,1.15,2.2952,1.4843,0.08813,233.1,1940,10.41,42579.3
775,11.7669,28.39,1,20,1.15,2.2854,1.4843,0.0894,233.0,1944,10.45,42633.9
776,11.7396,28.52,0,18,1.15,2.2952,1.4843,0.09232,231.8,1949,10.5,42690.5
777,11.7114,28.31,0,17,1.15,2.2952,1.4843,0.0944,230.7,1954,10.58,42749.5
