tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
0,117.5419,52.38,0,0,1.0,1.0,1.0,0.02015,68.7,0,6.11,110.1
1,117.2321,52.83,0,0,1.0,1.1786,1.0,0.02989,66.7,1,5.67,220.2
2,117.5156,52.97,0,0,1.0,1.2322,1.0,0.03998,67.2,1,5.58,330.3
3,117.7993,53.11,0,0,1.0,1.2344,1.0,0.03951,67.7,1,5.51,440.4
4,118.0843,53.27,0,0,1.0,1.2372,1.0,0.03698,68.3,1,5.4,550.5
5,118.3705,53.46,0,0,1.0,1.2403,1.0,0.03486,68.8,1,5.27,660.6
6,118.5224,51.92,0,0,1.1126,1.5062,1.3414,0.08728,70.4,1,6.48,770.7
7,118.5503,49.4,0,0,1.1186,1.5255,1.3595,0.13492,72.2,1,8.48,880.7
8,118.6062,47.67,0,0,1.1194,1.5322,1.3612,0.12117,74.1,1,9.71,990.8
9,118.6861,46.52,0,0,1.1205,1.5384,1.3622,0.10747,76.0,1,10.35,1100.9
10,118.7778,45.89,0,0,1.1223,1.545,1.3795,0.09646,77.2,1,10.51,1211.0
11,118.8824,45.19,0,0,1.1233,1.5487,1.4177,0.08875,78.5,1,10.56,1321.1
12,119.0008,44.82,0,0,1.1244,1.5524,1.4178,0.0812,79.7,1,10.45,1431.2
13,119.135,44.78,0,0,1.1256,1.5561,1.4181,0.07296,80.8,1,10.18,1541.3
14,119.2761,44.76,1,0,1.2962,1.5609,1.4192,0.074,81.9,1,10.01,1651.4
15,118.8134,44.67,0,0,1.2978,1.5654,1.4159,0.0756,81.4,2,9.87,1761.5
16,118.9756,45.03,0,1,1.13,1.5699,1.4168,0.06128,82.4,2,9.48,1871.6
17,119.1473,45.68,0,2,1.1316,1.5158,1.4181,0.04771,83.3,2,8.9,1981.7
18,119.3177,46.37,0,2,1.1336,1.5205,1.4189,0.04298,84.2,2,8.35,2091.8
19,119.4863,46.99,0,2,1.1355,1.4972,1.42,0.03992,85.1,2,7.87,2201.9
20,119.6551,47.45,0,2,1.137,1.4915,1.4082,0.03646,86.2,2,7.48,2312.0
21,119.2097,47.76,0,2,1.1404,1.4933,1.4095,0.0353,86.7,3,7.18,2421.0
22,119.3705,48.17,0,1,1.1456,1.4928,1.4108,0.03446,87.9,3,6.94,2525.8
23,119.5171,48.36,1,0,1.3252,1.4804,1.4106,0.04133,89.1,3,6.92,2625.8
24,119.7605,50.47,1,0,1.1664,1.1833,1.0614,0.00013,89.6,3,5.88,2724.1
25,120.1012,52.91,0,0,1.1654,1.1724,1.0617,-0.03471,90.1,3,5.02,2820.0
26,120.4236,54.56,2,0,1.1626,1.15,1.0621,-0.0277,90.6,3,4.39,2907.5
27,120.7374,55.71,3,0,1.1564,1.1209,1.0481,-0.02367,91.0,3,3.92,2991.9
28,121.0467,56.15,1,0,1.1567,1.1215,1.0308,-0.01985,92.1,3,3.71,3074.6
