tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
804,22.903,20.55,0,29,1.15,1.2314,1.0374,0.07455,222.3,973,9.1,43280.2
805,22.887,20.3,0,37,1.15,1.2353,1.0329,0.0765,220.1,978,9.12,43335.5
806,22.8707,20.53,0,38,1.15,1.2307,1.0382,0.07717,219.3,981,9.16,43386.9
807,22.8539,20.08,0,39,1.15,1.2428,1.0336,0.07813,218.6,984,9.22,43436.7
808,22.835,20.21,0,37,1.15,1.2433,1.0341,0.07962,217.4,987,9.28,43485.6
809,22.8026,20.13,0,40,1.15,1.2651,1.0439,0.08239,216.0,991,9.37,43535.3
810,22.789,19.95,0,46,1.15,1.2463,1.0348,0.08144,216.0,993,9.42,43579.6
811,22.7653,20.92,0,37,1.15,1.2517,1.04,0.07991,216.1,995,9.4,43627.3
812,22.737,20.84,0,35,1.15,1.2433,1.0357,0.07745,218.0,995,9.41,43674.5
813,22.7095,20.48,0,36,1.15,1.2539,1.0407,0.078,217.4,998,9.39,43721.2
814,22.6846,20.29,0,45,1.15,1.2506,1.0364,0.07809,217.8,1000,9.39,43767.9
815,22.6575,20.45,0,40,1.15,1.2511,1.0416,0.07795,216.6,1003,9.4,43817.7
816,22.6294,20.85,0,36,1.15,1.2728,1.0468,0.07982,216.1,1006,9.48,43870.4
817,22.6012,20.38,0,40,1.15,1.2595,1.0375,0.07889,215.3,1008,9.54,43924.6
818,22.5737,20.49,0,38,1.15,1.2548,1.0427,0.07625,215.5,1010,9.52,43975.9
819,22.5552,20.66,0,37,1.15,1.2566,1.0384,0.07384,217.3,1010,9.49,44028.6
820,22.5366,21.37,0,33,1.15,1.257,1.0434,0.07378,217.0,1012,9.44,44082.2
821,22.5203,20.93,0,32,1.15,1.2536,1.0391,0.07131,218.8,1012,9.39,44134.4
822,22.5003,21.04,0,34,1.15,1.2737,1.0537,0.07241,220.1,1013,9.36,44186.5
823,22.4649,21.14,0,33,1.15,1.2578,1.0397,0.07114,222.0,1013,9.31,44238.2
824,22.4418,21.09,0,34,1.15,1.2624,1.0401,0.06723,223.8,1013,9.19,44288.8
825,22.4217,21.06,0,34,1.15,1.2578,1.0453,0.06718,224.5,1014,9.08,44340.5
826,22.4085,21.69,0,30,1.15,1.27,1.0406,0.06683,225.6,1015,8.97,44390.1
827,22.3904,21.26,0,34,1.15,1.2899,1.0551,0.07006,225.8,1017,8.97,44442.8
828,22.3756,21.42,0,34,1.15,1.2726,1.0413,0.07066,225.3,1020,8.97,44496.9
829,22.3625,21.56,0,33,1.15,1.268,1.0465,0.06727,226.3,1021,8.89,44550.7
830,22.3531,21.46,0,32,1.15,1.275,1.0372,0.06548,228.1,1021,8.82,44604.1
831,22.3424,21.22,0,32,1.15,1.2761,1.0423,0.06544,229.0,1022,8.74,44658.9
832,22.3102,21.16,0,37,1.15,1.2907,1.057,0.06977,228.2,1025,8.74,44709.3
833,22.2953,21.31,0,37,1.15,1.2696,1.0431,0.06987,228.3,1027,8.75,44759.6
834,22.2659,21.66,0,35,1.15,1.2739,1.0482,0.06928,227.4,1030,8.77,44808.8
835,22.2448,21.55,0,32,1.15,1.2758,1.0439,0.07107,225.8,1034,8.81,44859.0
836,22.2247,21.18,0,37,1.15,1.2906,1.0586,0.07179,226.8,1035,8.9,44909.6
837,22.2028,21.08,0,36,1.15,1.2786,1.0445,0.07154,227.9,1036,8.93,44964.2
838,22.1728,21.61,0,32,1.15,1.2797,1.0448,0.06986,228.2,1038,8.89,45020.3
839,22.1526,21.36,0,32,1.15,1.3042,1.0592,0.07332,228.5,1040,8.92,45074.9
840,22.1375,21.2,0,35,1.15,1.2821,1.0406,0.07676,225.8,1046,8.93,45127.1
841,22.1167,20.81,0,40,1.15,1.2828,1.0504,0.0738,226.8,1047,8.93,45177.4
842,22.1028,21.47,0,36,1.15,1.2852,1.0462,0.07424,226.9,1049,8.91,45224.7
843,22.085,21.07,0,38,1.15,1.3045,1.056,0.07603,226.8,1051,8.96,45273.0
844,22.0575,21.03,0,34,1.15,1.2808,1.0514,0.07698,227.1,1053,9.0,45323.7
845,22.0213,21.08,0,35,1.15,1.2924,1.0518,0.07613,227.5,1055,9.04,45377.5
846,21.9889,21.49,0,32,1.15,1.3183,1.0568,0.07725,228.2,1056,9.16,45431.1
847,21.9473,21.21,0,31,1.15,1.2958,1.0479,0.07818,226.9,1060,9.21,45485.2
848,21.9054,20.86,0,28,1.15,1.3011,1.0529,0.07637,227.0,1062,9.26,45538.3
849,21.8827,20.72,0,37,1.15,1.3218,1.0582,0.07823,227.3,1064,9.34,45592.4
850,21.8644,20.49,0,46,1.0,1.3036,1.0538,0.07051,228.3,1065,9.22,45642.1
851,21.8473,21.08,0,44,1.15,1.3054,1.0495,0.06969,228.5,1067,9.1,45692.3
852,21.8275,20.85,0,42,1.15,1.3245,1.064,0.08197,226.9,1071,9.27,45741.9
853,21.8085,20.82,0,40,1.15,1.3031,1.0506,0.08102,227.3,1073,9.39,45793.1
854,21.7934,20.43,0,42,1.15,1.3043,1.0503,0.07742,228.4,1074,9.42,45842.8
855,21.777,21.51,0,35,1.15,1.3233,1.0648,0.08002,228.7,1076,9.49,45895.4
856,21.7562,21.94,0,28,1.15,1.307,1.0511,0.07966,229.2,1078,9.52,45948.6
857,21.7353,21.47,0,29,1.15,1.3074,1.0515,0.07708,229.4,1080,9.5,46002.4
858,21.7194,21.02,0,32,1.15,1.3329,1.0622,0.07916,229.7,1082,9.55,46054.1
859,21.7008,20.68,0,37,1.15,1.3149,1.058,0.08101,228.6,1086,9.59,46105.4
860,21.6838,20.3,0,36,1.15,1.3282,1.0633,0.08024,228.7,1088,9.64,46152.2
861,21.6692,20.54,0,33,1.15,1.3181,1.0543,0.07982,228.0,1091,9.66,46200.9
862,21.6481,20.2,0,36,1.15,1.3269,1.069,0.08074,227.7,1094,9.7,46251.5
863,21.6297,20.22,0,40,1.15,1.3156,1.0552,0.07966,227.2,1096,9.71,46300.7
