policy,deterrence,seed,ticks,wars_started,first_war_tick,wars_with_nuclear_side,defaults,gdp_delta_pct,mean_unemployment
rl,none,0,72,176,6,0,1,-3.0,9.14
rl,none,1,72,168,3,0,1,-3.15,9.17
rl,none,2,72,143,4,0,1,-1.95,9.32
rl,none,3,72,172,3,0,1,-2.84,9.54
rl,none,4,72,172,7,0,1,-3.13,9.2
rl,none,5,72,170,3,0,1,-3.19,9.13
rl,none,6,72,177,3,0,1,-2.36,9.36
rl,none,7,72,137,3,0,0,-0.86,8.87
rl,none,8,72,162,4,0,1,-2.24,9.21
rl,none,9,72,166,3,0,1,-2.65,9.3
