policy,deterrence,seed,ticks,wars_started,first_war_tick,wars_with_nuclear_side,defaults,gdp_delta_pct,mean_unemployment
rl,status,0,72,72,7,0,2,3.64,9.23
rl,status,1,72,72,5,0,2,3.47,8.06
rl,status,2,72,78,3,0,2,3.64,8.15
rl,status,3,72,72,4,0,2,3.75,8.3
rl,status,4,72,79,9,0,2,3.39,8.53
rl,status,5,72,73,4,0,2,3.65,8.02
rl,status,6,72,77,4,0,2,3.43,8.36
rl,status,7,72,79,3,0,2,3.55,8.39
rl,status,8,72,71,3,0,2,3.68,8.28
rl,status,9,72,78,3,0,2,3.45,8.14
